Statistic,Weekly_Cost_NZD
Mean,272966.66072000004
Median,273314.655
Standard Deviation,3222.990919840988
5th Percentile,266450.07749999996
95th Percentile,277474.2185
Minimum,256463.40999999997
Maximum,281750.57
