Day,Route,Demand,Duration_hours,Owned_Cost_NZD,Leased_Cost_NZD,Vehicle_Type,Trip_Cost_NZD
Saturday,Warehouse -> New World Ormiston -> Pak 'n Save Ormiston -> Warehouse,12.0,4.843738888888889,1190.0,4200.0,Owned,1190.0
Saturday,Warehouse -> New World Papakura -> Pak 'n Save Papakura -> Warehouse,12.0,4.990341666666667,1190.0,4200.0,Owned,1190.0
Saturday,Warehouse -> New World Papatoetoe -> New World Southmall -> Warehouse,9.0,3.8602916666666665,849.26,2800.0,Owned,849.26
Saturday,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Four Square St Heliers -> Warehouse,8.0,3.8145777777777776,839.21,2800.0,Owned,839.21
Saturday,Warehouse -> Pak 'n Save Albany -> Warehouse,8.0,3.861108333333333,849.44,2800.0,Owned,849.44
Saturday,Warehouse -> Pak 'n Save Clendon -> Warehouse,7.0,3.1575944444444444,694.67,2800.0,Owned,694.67
Saturday,Warehouse -> Pak 'n Save Henderson -> Warehouse,9.0,3.630858333333333,798.79,2800.0,Owned,798.79
Saturday,Warehouse -> Pak 'n Save Lincoln Road -> Four Square Fair Price Henderson -> Warehouse,10.0,3.912919444444445,860.84,2800.0,Owned,860.84
Saturday,Warehouse -> Pak 'n Save Mangere -> Warehouse,8.0,3.044325,669.75,2800.0,Owned,669.75
Saturday,Warehouse -> Pak 'n Save Manukau -> Four Square Botany Junction -> Warehouse,9.0,3.849830555555555,846.96,2800.0,Owned,846.96
Saturday,Warehouse -> Pak 'n Save Royal Oak -> Four Square Onehunga -> Warehouse,10.0,3.4931916666666667,768.5,2800.0,Owned,768.5
Saturday,Warehouse -> Pak 'n Save Sylvia Park -> Warehouse,8.0,3.4915416666666665,768.14,2800.0,Owned,768.14
Saturday,Warehouse -> Four Square Lancaster -> Pak 'n Save Wairau Road -> Warehouse,8.0,3.849972222222222,846.99,2800.0,Owned,846.99
Saturday,Warehouse -> Pak 'n Save Westgate -> Four Square Hobsonville -> Warehouse,9.0,3.812352777777778,838.72,2800.0,Owned,838.72
