Global_Route_ID,Day,Route_ID,Route,Demand,Duration_seconds,Duration_hours,Overtime,Owned_Cost_NZD,Leased_Cost_NZD
1283,Saturday,1152,Warehouse -> Four Square Britomart -> Four Square Remuera -> Four Square Eden Terrace -> New World Point Chevalier -> Warehouse,11.0,16631.42,4.619838888888888,True,1190.0,4200.0
1284,Saturday,1153,Warehouse -> Four Square Britomart -> Four Square St Heliers -> Four Square Remuera -> Four Square Eden Terrace -> New World Point Chevalier -> Warehouse,13.0,19847.18,5.513105555555556,True,1500.0,4200.0
1285,Saturday,1154,Warehouse -> Four Square Eden Terrace -> New World Point Chevalier -> Warehouse,7.0,10323.44,2.8676222222222223,False,630.88,2800.0
1286,Saturday,1155,Warehouse -> Four Square Remuera -> Four Square Eden Terrace -> New World Point Chevalier -> Warehouse,9.0,13736.96,3.815822222222222,False,839.48,2800.0
1287,Saturday,1156,Warehouse -> Four Square Eden Terrace -> Four Square Remuera -> Four Square St Heliers -> New World Point Chevalier -> Warehouse,11.0,17375.989999999998,4.826663888888889,True,1190.0,4200.0
1288,Saturday,1157,Warehouse -> New World Remuera -> Warehouse,4.0,7550.35,2.0973194444444445,False,461.41,2800.0
1289,Saturday,1158,Warehouse -> New World Remuera -> New World Stonefields -> Warehouse,8.0,12751.67,3.5421305555555556,False,779.27,2800.0
1290,Saturday,1159,Warehouse -> New World Remuera -> New World Stonefields -> Pak 'n Save Glen Innes -> Warehouse,16.0,22454.47,6.237352777777778,True,1810.0,5600.0
1291,Saturday,1160,Warehouse -> New World Remuera -> New World Stonefields -> Pak 'n Save Sylvia Park -> Warehouse,16.0,21937.77,6.093825,True,1810.0,5600.0
1292,Saturday,1161,Warehouse -> Four Square Ellerslie -> New World Stonefields -> New World Remuera -> Warehouse,10.0,15099.07,4.194186111111111,True,1190.0,4200.0
1293,Saturday,1162,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> New World Stonefields -> New World Remuera -> Warehouse,12.0,16942.98,4.706383333333333,True,1190.0,4200.0
1294,Saturday,1163,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> New World Stonefields -> Four Square Remuera -> New World Remuera -> Warehouse,14.0,19183.34,5.328705555555556,True,1500.0,4200.0
1295,Saturday,1164,Warehouse -> New World Remuera -> Four Square Remuera -> Four Square St Heliers -> New World Stonefields -> Four Square Ellerslie -> Four Square Onehunga -> Warehouse,16.0,22499.47,6.249852777777778,True,1810.0,5600.0
1296,Saturday,1165,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Four Square Remuera -> New World Remuera -> Warehouse,12.0,17339.43,4.816508333333333,True,1190.0,4200.0
1297,Saturday,1166,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Four Square St Heliers -> Four Square Remuera -> New World Remuera -> Warehouse,14.0,20660.41,5.7390027777777775,True,1500.0,4200.0
1298,Saturday,1167,Warehouse -> New World Remuera -> Four Square Ellerslie -> New World Stonefields -> Four Square St Heliers -> Warehouse,12.0,18413.75,5.1149305555555555,True,1500.0,4200.0
1299,Saturday,1168,Warehouse -> New World Remuera -> Four Square Remuera -> New World Stonefields -> Warehouse,10.0,14988.130000000001,4.163369444444445,True,1190.0,4200.0
1300,Saturday,1169,Warehouse -> New World Remuera -> Four Square Remuera -> New World Stonefields -> Four Square St Heliers -> Warehouse,12.0,18221.739999999998,5.061594444444444,True,1500.0,4200.0
1301,Saturday,1170,Warehouse -> New World Remuera -> New World Stonefields -> Four Square St Heliers -> Warehouse,10.0,15985.28,4.440355555555556,True,1190.0,4200.0
1302,Saturday,1171,Warehouse -> Pak 'n Save Royal Oak -> New World Remuera -> Warehouse,12.0,16067.4,4.463166666666667,True,1190.0,4200.0
1303,Saturday,1172,Warehouse -> Pak 'n Save Royal Oak -> Four Square Ellerslie -> New World Remuera -> Warehouse,14.0,18549.46,5.152627777777777,True,1500.0,4200.0
1304,Saturday,1173,Warehouse -> Pak 'n Save Royal Oak -> New World Remuera -> Four Square Ellerslie -> Four Square Onehunga -> Warehouse,16.0,20561.34,5.711483333333334,True,1500.0,4200.0
1305,Saturday,1174,Warehouse -> Pak 'n Save Royal Oak -> Four Square Ellerslie -> Four Square Remuera -> New World Remuera -> Warehouse,16.0,20817.32,5.782588888888889,True,1500.0,4200.0
1306,Saturday,1175,Warehouse -> Pak 'n Save Royal Oak -> Four Square Ellerslie -> Four Square St Heliers -> New World Remuera -> Warehouse,16.0,22265.79,6.184941666666667,True,1810.0,5600.0
