Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
324,50139.74999999999,23633.4,274332.14999999997,671.0,37,0,26,0,11,0
325,48988.99999999999,23466.530000000002,268411.52999999997,656.0,35,0,24,0,11,0
326,49873.439999999995,22694.340000000007,272061.54,654.0,36,0,23,0,11,0
327,50567.81999999999,23403.989999999998,276243.08999999997,664.0,35,0,25,0,11,0
328,50636.6,23780.150000000005,276963.15,674.0,35,0,24,0,11,0
329,49539.11,22619.180000000004,270314.73,661.0,36,0,23,0,11,0
330,49452.689999999995,23587.760000000002,270851.20999999996,667.0,37,0,24,0,11,0
331,50157.78999999999,23336.56,274125.50999999995,666.0,36,0,25,0,11,0
332,50566.09,22952.880000000005,275783.32999999996,668.0,35,0,23,0,11,0
333,49897.049999999996,23082.07,272567.31999999995,662.0,36,0,25,0,11,0
334,49853.03,22957.73,272222.88,660.0,36,0,22,0,11,0
335,50483.99,22855.21,275275.16,665.0,36,0,24,0,11,0
336,50621.31999999999,23363.579999999994,276470.18,667.0,35,0,26,0,11,0
337,50248.6,23425.800000000003,274668.8,674.0,38,0,24,0,11,0
338,50174.659999999996,23282.25,274155.55,670.0,37,0,23,0,11,0
339,49714.36999999999,23295.740000000005,271867.58999999997,667.0,36,0,24,0,11,0
340,49645.47999999999,22630.289999999997,270857.68999999994,656.0,35,0,24,0,11,0
341,49689.78,22458.35,270907.25,659.0,36,0,22,0,11,0
342,50285.369999999995,23124.36,274551.20999999996,670.0,36,0,25,0,11,0
343,50044.77999999999,23139.070000000003,273362.97,658.0,37,0,23,0,11,0
344,48833.44999999999,23295.980000000003,267463.2299999999,651.0,34,0,25,0,11,0
345,50468.98999999999,22538.160000000003,274883.11,653.0,36,0,24,0,11,0
346,50092.549999999996,23471.909999999996,273934.66,669.0,35,0,25,0,11,0
347,50260.71,23285.959999999995,274589.51,663.0,37,0,25,0,11,0
348,49863.149999999994,24091.72,273407.47,674.0,37,0,25,0,11,0
349,50921.10999999999,23543.460000000003,278149.00999999995,682.0,35,0,25,0,11,0
350,49814.96,23023.71,272098.51,671.0,37,0,24,0,11,0
351,49740.81,23081.079999999998,271785.13,669.0,37,0,24,0,11,0
352,50011.7,23132.36,273190.86,662.0,34,0,23,0,11,0
353,49732.92,23439.199999999993,272103.8,671.0,36,0,23,0,11,0
354,50138.94999999999,23085.280000000002,273780.02999999997,668.0,35,0,25,0,11,0
355,49828.409999999996,22575.11,271717.16,662.0,35,0,24,0,11,0
356,48184.42999999999,23840.35,264762.49999999994,654.0,34,0,26,0,11,0
357,50187.13999999999,22392.470000000005,273328.17,650.0,34,0,23,0,11,0
358,49623.67999999999,23177.99,271296.38999999996,666.0,37,0,23,0,11,0
359,49528.02999999999,23911.940000000006,271552.08999999997,671.0,36,0,25,0,11,0
360,49618.219999999994,22846.679999999997,270937.77999999997,658.0,36,0,24,0,11,0
361,50257.74999999999,23000.7,274289.44999999995,665.0,37,0,23,0,11,0
362,49093.20999999999,23438.22,268904.26999999996,660.0,35,0,24,0,11,0
363,50162.1,23275.99,274086.49,671.0,35,0,24,0,11,0
364,50007.509999999995,22796.930000000004,272834.48,669.0,36,0,24,0,11,0
365,50156.73999999999,22984.060000000005,273767.75999999995,661.0,37,0,24,0,11,0
366,51062.15999999999,23088.58,278399.37999999995,662.0,37,0,24,0,11,0
367,50144.87999999999,23780.29,274504.68999999994,675.0,37,0,26,0,11,0
368,49807.36,23781.200000000004,272818.0,670.0,38,0,24,0,11,0
369,50895.59999999999,22817.79,277295.7899999999,662.0,35,0,22,0,11,0
370,51375.61999999999,22810.64,279688.73999999993,661.0,35,0,23,0,11,0
371,49902.909999999996,23136.930000000004,272651.48,663.0,36,0,26,0,11,0
372,48731.02999999999,23545.13,267200.27999999997,648.0,35,0,24,0,11,0
373,49512.27,22774.260000000006,270335.61,655.0,35,0,26,0,11,0
374,49547.77,23270.170000000002,271009.01999999996,671.0,36,0,24,0,11,0
375,49995.109999999986,23049.36,273024.9099999999,649.0,37,0,24,0,11,0
376,51209.06,23428.41,279473.70999999996,672.0,35,0,25,0,11,0
377,49521.99999999999,23167.110000000004,270777.11,668.0,38,0,24,0,11,0
378,49734.729999999996,22933.71,271607.36,658.0,35,0,25,0,11,0
379,50445.049999999996,22906.55,275131.8,669.0,36,0,24,0,11,0
380,50565.7,24018.79,276847.29,681.0,34,0,26,0,11,0
381,51272.38999999999,23775.540000000005,280137.48999999993,666.0,34,0,25,0,11,0
382,49680.63,22889.570000000003,271292.72,663.0,36,0,25,0,11,0
383,49342.27999999999,23508.17,270219.56999999995,667.0,34,0,24,0,11,0
384,50079.80999999999,22713.33,273112.37999999995,665.0,36,0,24,0,11,0
385,49929.329999999994,23189.519999999997,272836.17,664.0,36,0,26,0,11,0
386,49521.73999999999,23040.81,270649.50999999995,651.0,37,0,24,0,11,0
387,49774.119999999995,23734.370000000003,272604.97,671.0,36,0,25,0,11,0
388,51471.52,23741.900000000005,281099.5,680.0,35,0,25,0,11,0
389,50281.19999999999,23021.129999999997,274427.12999999995,665.0,35,0,24,0,11,0
390,50908.0,22745.199999999997,277285.2,654.0,34,0,23,0,11,0
391,50206.31,23650.49,274682.04,663.0,34,0,25,0,11,0
392,50382.95,23655.840000000004,275570.59,671.0,35,0,24,0,11,0
393,50165.51999999999,22763.28,273590.87999999995,660.0,37,0,24,0,11,0
394,50613.909999999996,23477.140000000003,276546.69,662.0,35,0,26,0,11,0
395,49541.03,22905.85,270611.0,655.0,36,0,25,0,11,0
396,50344.14,22944.430000000004,274665.13,660.0,35,0,26,0,11,0
397,49244.479999999996,23598.030000000002,269820.43,671.0,36,0,25,0,11,0
398,49896.74999999999,23364.620000000003,272848.37,662.0,37,0,27,0,11,0
399,49407.1,23514.81,270550.31,662.0,35,0,25,0,11,0
400,49937.7,23214.3,272902.8,663.0,36,0,24,0,11,0
401,49779.02,22813.15,271708.25,665.0,36,0,22,0,11,0
402,48246.88,23168.300000000003,264402.7,643.0,35,0,25,0,11,0
403,50185.03999999999,23212.01,274137.20999999996,665.0,36,0,25,0,11,0
404,50943.74999999999,23235.590000000007,277954.33999999997,662.0,34,0,23,0,11,0
405,48652.59,23664.810000000005,266927.76,658.0,33,0,26,0,11,0
406,50037.81999999999,23898.260000000002,274087.36,672.0,37,0,26,0,11,0
407,50281.59,23083.670000000002,274491.62,663.0,35,0,23,0,11,0
408,50398.77,23340.570000000003,275334.42,665.0,35,0,25,0,11,0
409,50072.02,23345.160000000007,273705.26,663.0,35,0,25,0,11,0
410,50171.229999999996,22403.16,273259.30999999994,660.0,36,0,24,0,11,0
411,51326.7,23426.500000000004,280060.0,677.0,33,0,25,0,11,0
412,49948.409999999996,23142.299999999996,272884.35,659.0,35,0,24,0,11,0
413,50098.71,23386.089999999997,273879.64,668.0,36,0,23,0,11,0
414,50449.24,23129.08,275375.27999999997,662.0,35,0,23,0,11,0
415,50480.42,23754.790000000005,276156.88999999996,671.0,36,0,25,0,11,0
416,50053.649999999994,23267.670000000002,273535.92,666.0,36,0,23,0,11,0
417,49789.549999999996,22776.82,271724.56999999995,650.0,34,0,24,0,11,0
418,49566.45999999999,22919.88,270752.17999999993,661.0,37,0,26,0,11,0
419,49375.81,22993.22,269872.27,670.0,37,0,23,0,11,0
420,49758.52,22972.56,271765.16,659.0,35,0,24,0,11,0
421,50600.67,23107.18,276110.52999999997,663.0,35,0,24,0,11,0
422,50637.19999999999,22415.24,275601.23999999993,663.0,37,0,23,0,11,0
423,49187.13999999999,23466.999999999996,269402.69999999995,661.0,37,0,22,0,11,0
424,48611.71,23716.06,266774.61,654.0,32,0,25,0,11,0
425,49709.42999999999,22997.730000000003,271544.87999999995,659.0,35,0,26,0,11,0
426,48455.27,22814.190000000002,265090.54,638.0,34,0,23,0,11,0
427,49031.89999999999,22867.800000000003,268027.29999999993,650.0,38,0,24,0,11,0
428,50148.19999999999,23089.260000000002,273830.25999999995,667.0,36,0,24,0,11,0
429,50580.49,22930.08,275832.52999999997,663.0,35,0,22,0,11,0
430,50266.969999999994,23661.559999999998,274996.41,668.0,34,0,25,0,11,0
431,50365.479999999996,23458.54,275285.93999999994,672.0,37,0,24,0,11,0
432,48448.32,22741.27,264982.87,639.0,33,0,24,0,11,0
433,50147.82,23105.510000000002,273844.61,664.0,35,0,23,0,11,0
434,49914.60999999999,23570.28,273143.32999999996,663.0,34,0,24,0,11,0
435,49877.88999999999,23642.7,273032.14999999997,663.0,36,0,24,0,11,0
436,50967.95999999999,23692.260000000002,278532.05999999994,666.0,36,0,26,0,11,0
437,50531.46,23640.660000000003,276297.95999999996,676.0,35,0,26,0,11,0
438,51448.43,22967.110000000004,280209.26,665.0,34,0,25,0,11,0
439,50070.17999999999,23014.73,273365.62999999995,661.0,36,0,25,0,11,0
440,50370.909999999996,23303.479999999996,275158.02999999997,661.0,35,0,24,0,11,0
441,49860.45,23290.790000000005,272593.04,665.0,35,0,26,0,11,0
442,49989.77,23193.250000000004,273142.1,675.0,36,0,23,0,11,0
443,50144.7,23067.94,273791.44,663.0,34,0,23,0,11,0
444,50434.53999999999,23135.63,275308.32999999996,666.0,36,0,25,0,11,0
445,50485.05999999999,23192.539999999997,275617.83999999997,656.0,34,0,24,0,11,0
446,50520.689999999995,23658.610000000004,276262.06,676.0,38,0,24,0,11,0
447,49870.469999999994,22796.810000000005,272149.16,659.0,35,0,23,0,11,0
448,48021.399999999994,23942.859999999997,264049.86,655.0,35,0,24,0,11,0
449,50267.27,23212.05,274548.39999999997,667.0,35,0,25,0,11,0
450,51074.969999999994,23464.24,278839.08999999997,673.0,35,0,25,0,11,0
451,50681.25,23598.18,277004.43,681.0,36,0,24,0,11,0
452,50218.13,22513.78,273604.43,661.0,36,0,23,0,11,0
453,49203.299999999996,23307.97,269324.47,665.0,36,0,24,0,11,0
454,50589.009999999995,23038.870000000003,275983.92,671.0,36,0,24,0,11,0
455,49249.02,23258.65,269503.75,657.0,36,0,23,0,11,0
456,49506.92999999999,23951.07,271485.72,670.0,38,0,25,0,11,0
457,49978.659999999996,22944.57,272837.87,667.0,35,0,23,0,11,0
458,50122.56,23195.36,273808.16,658.0,35,0,25,0,11,0
459,48300.92999999999,23724.2,265228.85,650.0,35,0,25,0,11,0
460,50421.649999999994,23835.340000000004,275943.58999999997,673.0,36,0,27,0,11,0
461,50762.43,23374.440000000002,277186.58999999997,663.0,34,0,24,0,11,0
462,49164.369999999995,23116.19,268938.04,658.0,36,0,24,0,11,0
463,50733.36,22681.550000000003,276348.35,658.0,36,0,25,0,11,0
464,50679.77999999999,22974.620000000003,276373.51999999996,666.0,35,0,25,0,11,0
465,50168.38,22830.870000000003,273672.77,659.0,37,0,25,0,11,0
